id,city_id,name,pob_total,pob_mas,pob_fem
2,Armeria,Ciudad de Armeria,15923,7953,7970
3,Armeria,El Caminero,5,*,*
4,Armeria,Cofradia de Juarez,6202,3111,3091
5,Armeria,Cuyutlan,1002,514,488
6,Armeria,El Taco,1,*,*
7,Armeria,Maria Dolores,6,*,*
8,Armeria,Rancho Berrondo,4,*,*
9,Armeria,Los Olivos,1,*,*
10,Armeria,El Paraiso [Balneario],200,112,88
11,Armeria,El Puertecito,470,230,240
12,Armeria,Rincon de Lopez,2756,1409,1347
13,Armeria,San Felipe,6,*,*
14,Armeria,Santander,15,*,*
15,Armeria,Los Reyes (Zorrillos),554,278,276
16,Armeria,Augusto Gomez Villanueva (Coalatilla),1048,544,504
17,Armeria,La Atravesada,32,14,18
18,Armeria,La Tropicana,2,*,*
19,Armeria,Excaltitan,1,*,*
20,Armeria,Rancho Blanco,1,*,*
21,Armeria,Los Camichines,4,*,*
22,Armeria,Los Rosales,3,*,*
23,Armeria,Rancho Caraballo,4,*,*
24,Armeria,Chulavista,3,*,*
25,Armeria,El Arriero,3,*,*
26,Armeria,El Establo,2,*,*
27,Armeria,La Canita,3,*,*
28,Armeria,Las Humedades,1,*,*
29,Armeria,La Canoa,2,*,*
30,Armeria,El Rocio,1,*,*
31,Armeria,El Caballero,5,*,*
32,Armeria,San Jose,2,*,*
33,Armeria,El Paraiso,2,*,*
34,Armeria,Colonia Sagrado Corazon,112,59,53
35,Armeria,Las Cuatas,8,*,*
36,Armeria,La Esmeralda (El Garrotero),9,*,*
37,Armeria,Gerardo Chavez,4,*,*
38,Armeria,Rancho Candida,2,*,*
39,Armeria,El Piolin,1,*,*
40,Armeria,La Providencia,4,*,*
41,Armeria,El Algodonal (Pascual Moreno),2,*,*
42,Armeria,El Panteon,7,*,*
43,Armeria,Charco Verde,11,7,4
44,Armeria,El Lucero,7,*,*
45,Armeria,El Polvorin,3,*,*
46,Armeria,El Pozo,5,*,*
47,Armeria,Oscar Verduzco,1,*,*
48,Armeria,Rancho del Cura,1,*,*
49,Armeria,Juan Lopez,4,*,*
50,Armeria,El Tecuan,3,*,*
51,Armeria,Rincon del Diablo (Tomas Paulin Nava),1,*,*
52,Armeria,Fernando Hernandez,6,*,*
53,Armeria,Vicente Lopez [Coheteria],6,*,*
54,Armeria,Rancho Paraiso,1,*,*
55,Armeria,Cofradia de Juarez,7,*,*
56,Armeria,La Huerta Regada,2,*,*
57,Armeria,La Estampida (Miguel Cuevas),2,*,*
58,Armeria,Rancho de Gil,1,*,*
59,Armeria,Rincon de Lopez,17,10,7
60,Armeria,Ignacio Alcaraz,1,*,*
61,Armeria,Jesus Cano,2,*,*
62,Armeria,Paula Bonilla,1,*,*
63,Armeria,El Pochote,2,*,*
64,Armeria,Rafael Mora,7,*,*
65,Armeria,El Rincon del Tecuan,2,*,*
66,Armeria,Chuy Mendoza,2,*,*
67,Armeria,Jose Covarrubias,1,*,*
68,Armeria,Los Laureles,1,*,*
69,Armeria,Mal Paso,2,*,*
70,Armeria,La Tilapia,1,*,*
71,Armeria,Colonia Flor de Coco,52,29,23
72,Armeria,Cofradia de Juarez,4,*,*
73,Armeria,Jose Trinidad Pimentel,1,*,*
74,Armeria,El Barandal,1,*,*
75,Armeria,Cofradia de Juarez,52,28,24
76,Armeria,Don Candelario,8,*,*
77,Armeria,El Capricho,3,*,*
78,Armeria,Las Palmas [Granja],11,6,5
79,Armeria,La Columnaria,3,*,*
80,Armeria,Alejandro Martinez,7,*,*
81,Armeria,Alejandro Valdovinos,1,*,*
82,Armeria,Cesar Moreno,2,*,*
83,Armeria,Chavarin,6,*,*
84,Armeria,El Capricho,2,*,*
85,Armeria,Jesus Maria,6,*,*
86,Armeria,Jorge Enrique Virgen,5,*,*
87,Armeria,La Candelaria,5,*,*
88,Armeria,Los Sabalzas,1,*,*
89,Armeria,Mariscal,4,*,*
90,Armeria,Rancho de Cheque,4,*,*
91,Armeria,Rancho Escondido,3,*,*
92,Armeria,Sergio Parra,1,*,*
96,Colima,Colima,137383,66698,70685
97,Colima,Acatitan,196,100,96
98,Colima,El Alpuyequito,137,66,71
99,Colima,Los Asmoles,609,319,290
100,Colima,El Astillero de Abajo,147,76,71
101,Colima,El Astillero de Arriba,174,98,76
102,Colima,El Bordo,119,64,55
103,Colima,La Capacha,128,67,61
104,Colima,Corralitos,5,*,*
105,Colima,El Chanal,820,403,417
106,Colima,Estapilla,354,172,182
107,Colima,Las Golondrinas,200,96,104
108,Colima,Las Guasimas (Las Borregas),516,280,236
109,Colima,Las Higueras,2,*,*
110,Colima,El Huicumo,2,*,*
111,Colima,Rancho Viejo,4,*,*
112,Colima,La Media Luna,63,28,35
113,Colima,Loma de Juarez (El Mezquite),172,80,92
114,Colima,Los Ortices,262,138,124
115,Colima,Paso del Zarco,2,*,*
116,Colima,Piscila,1352,685,667
117,Colima,Cardona,383,194,189
118,Colima,Puerta de anzar,294,148,146
119,Colima,Las Carmelitas,5,*,*
120,Colima,Los Tepames,1655,827,828
121,Colima,Ticuizitan,32,15,17
122,Colima,Tinajas,307,155,152
123,Colima,Trapichillos,110,54,56
124,Colima,Las Tunas,236,125,111
125,Colima,El Alpuyeque,7,*,*
126,Colima,Arroyo Verde,23,11,12
127,Colima,Granja Amalia,4,*,*
128,Colima,Buenos Aires,1,*,*
129,Colima,La Barrosa,5,*,*
130,Colima,La Paz,8,*,*
131,Colima,Colomitos,1,*,*
132,Colima,Chacalcahuitl,13,8,5
133,Colima,San Emigdio,3,*,*
134,Colima,Santa Fe,4,*,*
135,Colima,La Loma de Ignacio Allende,81,42,39
136,Colima,La Lomita,7,3,4
137,Colima,Moctezuma,1,*,*
138,Colima,Los Mezcales,9,*,*
139,Colima,Pueblo Viejo,4,*,*
140,Colima,La Providencia,6,*,*
141,Colima,Las Penitas,19,11,8
142,Colima,La Primavera,4,*,*
143,Colima,Quinta del Sol,3,*,*
144,Colima,Rancho Selene,12,5,7
145,Colima,Rancho Nuevo,15,10,5
146,Colima,La Tecomaca,3,*,*
147,Colima,Loma de Fatima,120,65,55
148,Colima,El Amarradero,179,97,82
149,Colima,El Camichin,4,*,*
150,Colima,El Capricho,11,*,*
151,Colima,Crucero Bajio de la Leona,3,*,*
152,Colima,Las Palmas,7,*,*
153,Colima,Follajes Tropicales,4,*,*
154,Colima,Familia Garcia,3,*,*
155,Colima,El Naranjito,6,*,*
156,Colima,El Escribano,4,*,*
157,Colima,Rancho Corrales,3,*,*
158,Colima,Ninguno,3,*,*
159,Colima,Valentin Diaz,1,*,*
160,Colima,Rancho Caramullo (Vicente Carrillo),2,*,*
161,Colima,Ramon Heredia,8,*,*
